Name,Country,Continent,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze
Ronald Bennett,Honduras,Americas,27,175,70,M,Athletics,Men's 110m Hurdles,,,,
Balazs Baji,Hungary,Europe,23,192,83,M,Athletics,Men's 110m Hurdles,,,,
Daniel Kiss,Hungary,Europe,30,196,96,M,Athletics,Men's 110m Hurdles,,,,
Rohollah Asgari,Islamic Republic of Iran,Asia,30,187,82,M,Athletics,Men's 110m Hurdles,,,,
Emanuele Abate,Italy,Europe,27,190,80,M,Athletics,Men's 110m Hurdles,,,,
Andrew Riley,Jamaica,Americas,23,,,M,Athletics,Men's 110m Hurdles,,,,
Hansle Parchment,Jamaica,Americas,22,196,90,M,Athletics,Men's 110m Hurdles,YES,,,1
Richard Phillips,Jamaica,Americas,29,192,84,M,Athletics,Men's 110m Hurdles,,,,
Fawaz Al-Shammari,Kuwait,Asia,35,,,M,Athletics,Men's 110m Hurdles,,,,
Ahmad Hazer,Lebanon,Asia,22,188,80,M,Athletics,Men's 110m Hurdles,,,,
Kame Ali,Madagascar,Africa,27,190,83,M,Athletics,Men's 110m Hurdles,,,,
Gregory Sedoc,Netherlands,Europe,30,179,75,M,Athletics,Men's 110m Hurdles,,,,
Selim Nurudeen,Nigeria,Africa,29,190,77,M,Athletics,Men's 110m Hurdles,,,,
Dongpeng Shi,People's Republic of China,Asia,30,192,85,M,Athletics,Men's 110m Hurdles,,,,
Wenjun Xie,People's Republic of China,Asia,22,190,85,M,Athletics,Men's 110m Hurdles,,,,
Xiang Liu,People's Republic of China,Asia,29,190,86,M,Athletics,Men's 110m Hurdles,,,,
Artur Noga,Poland,Europe,24,196,92,M,Athletics,Men's 110m Hurdles,,,,
Joao Carlos Almeida,Portugal,Europe,24,185,88,M,Athletics,Men's 110m Hurdles,,,,
Enrique Llanos,Puerto Rico,Americas,32,,,M,Athletics,Men's 110m Hurdles,,,,
Hector Cotto,Puerto Rico,Americas,27,191,86,M,Athletics,Men's 110m Hurdles,,,,
Aleksey Dremin,Russian Federation,Europe,23,186,80,M,Athletics,Men's 110m Hurdles,,,,
Konstantin Shabanov,Russian Federation,Europe,22,184,75,M,Athletics,Men's 110m Hurdles,,,,
Sergey Shubenkov,Russian Federation,Europe,21,190,75,M,Athletics,Men's 110m Hurdles,,,,
Ahmad Kh A Al-Molad,Saudi Arabia,Asia,24,,,M,Athletics,Men's 110m Hurdles,,,,
Moussa Dembele,Senegal,Africa,23,182,78,M,Athletics,Men's 110m Hurdles,,,,
Lehann Fourie,South Africa,Africa,25,196,98,M,Athletics,Men's 110m Hurdles,,,,
Jackson Quinonez,Spain,Europe,32,190,89,M,Athletics,Men's 110m Hurdles,,,,
Mikel Thomas,Trinidad and Tobago,Americas,24,166,79,M,Athletics,Men's 110m Hurdles,,,,
Wayne Davis,Trinidad and Tobago,Americas,20,171,70,M,Athletics,Men's 110m Hurdles,,,,
Aries Merritt,United States of America,Americas,27,188,77,M,Athletics,Men's 110m Hurdles,YES,1,,
Jason Richardson,United States of America,Americas,26,188,77,M,Athletics,Men's 110m Hurdles,YES,,1,
Jeff Porter,United States of America,Americas,26,183,84,M,Athletics,Men's 110m Hurdles,,,,
Ryan Gregson,Australia,Oceania,22,184,73,M,Athletics,Men's 1500m,,,,
Andreas Vojta,Austria,Europe,23,189,77,M,Athletics,Men's 1500m,,,,
Nathan Brannen,Canada,Americas,29,174,58,M,Athletics,Men's 1500m,,,,
Teklit Teweldebrhan,Eritrea,Africa,18,172,65,M,Athletics,Men's 1500m,,,,
Dawit Wolde,Ethiopia,Africa,21,174,63,M,Athletics,Men's 1500m,,,,
Mekonnen Gebremedhin,Ethiopia,Africa,23,182,62,M,Athletics,Men's 1500m,,,,
Niclas Sandells,Finland,Europe,28,185,72,M,Athletics,Men's 1500m,,,,
Florian Carvalho,France,Europe,23,183,70,M,Athletics,Men's 1500m,,,,
Jamale Aarrass,France,Europe,30,187,76,M,Athletics,Men's 1500m,,,,
Yoann Kowal,France,Europe,25,172,68,M,Athletics,Men's 1500m,,,,
Carsten Schlangen,Germany,Europe,31,190,67,M,Athletics,Men's 1500m,,,,
Andrew Baddeley,Great Britain,Europe,30,188,69,M,Athletics,Men's 1500m,,,,
Ross Murray,Great Britain,Europe,21,,,M,Athletics,Men's 1500m,,,,
Mamadou Barry,Guinea,Africa,20,178,66,M,Athletics,Men's 1500m,,,,
Ciaran O'Lionaird,Ireland,Europe,24,,,M,Athletics,Men's 1500m,,,,
